DATE,POLICE - GAS,ADMIN - GAS,DEV - GAS,O&M- GAS,O&M- DIESEL,WATER/SAN - GAS,WATER/SAN - DIESEL,X10-14-3-0100,X10-17-3-0100,X20-21-3-0100/20-22-3-0100,TOTALFUELUSAGE
14-Jan,1865.9,15.4,60.6,88.3,4757.6,430.8,901.5,1865.9,4921.9,1332.3,8120.1
14-Feb,1903.8,0,70.5,176.4,2957,507.6,651.9,1903.8,3203.9,1159.5,6267.2
14-Mar,1931.3,32.3,69.1,225.4,1843.6,413.8,352,1931.3,2170.4,765.8,4867.5
14-Apr,2041.5,0,81.6,176.3,997.9,418.1,232.3,2041.5,1255.8,650.4,3947.7
14-May,2113.8,14.8,117.5,84.7,743.5,419.2,203,2113.8,960.5,622.2,3696.5
14-Oct,1914.1,25.7,79.6,165.6,866,419,340.1,1914.1,1136.9,759.1,3810.1
14-Nov,1544.7,13.5,80.5,165.7,816.6,420.3,352.2,1544.7,1076.3,772.5,3393.5
14-Dec,1376.4,24.4,59.4,155.5,669,346.1,234.8,1376.4,908.3,580.9,2865.6
15-Feb,1463.4,14.2,62.8,131.9,2580.6,395.7,620.3,1463.4,2789.5,1016,5268.9
15-Mar,1419.3,25.7,47,145.4,1192.7,373.2,337.5,1419.3,1410.8,710.7,3540.8
15-Apr,1207.3,23.2,40.8,206.4,399.5,286.9,264.7,1207.3,669.9,551.6,2428.8
15-May,1655.9,5.9,50.3,249.3,611.4,326,343.8,1655.9,916.9,669.8,3242.6
15-Jun,1651.8,4.5,65.9,299.5,738.4,314.2,243.6,1651.8,1108.3,557.8,3317.9
15-Jul,1681.6,7.9,88.2,179.4,1020.9,294.7,484.6,1681.6,1296.4,779.3,3757.3
15-Aug,1559.1,10.2,50.3,173.6,637.4,252.5,351.1,1559.1,871.5,603.6,3034.2
15-Sep,1583,0,56.4,195,742.8,271.4,496,1583,994.2,767.4,3344.6
15-Oct,1687,0,79,146.4,921.3,356.7,384.2,1687,1146.7,740.9,3574.6
15-Nov,1508.5,0,65,136.4,816.8,337.4,296,1508.5,1018.2,633.4,3160.1
15-Dec,1015.2,0,54.2,47.3,1292.8,218.8,292.6,1015.2,1394.3,511.4,2920.9
16-Jan,1697.4,0,42.8,135.6,1778.7,312,563.6,1697.4,1957.1,875.6,4530.1
16-Feb,1637.8,13.7,65.9,207.7,1396.3,292.1,397.2,1637.8,1683.6,689.3,4010.7
16-Mar,1709,0,75,217.3,739.6,245.5,444.4,1709,1031.9,689.9,3430.8
16-Apr,1383.9,0,36.9,202.3,514.7,251,261.3,1383.9,753.9,512.3,2650.1
16-May,1435.7,19.4,43.9,135,502.5,271.2,254.3,1435.7,700.8,525.5,2662
16-Jun,1525,0,68.3,223.1,651.6,285.7,440.3,1525,943,726,3194
16-Jul,1648,0,36.2,247.3,635.1,277.2,616.3,1648,918.6,893.5,3460.1
16-Aug,1523.4,0,50.1,202.3,929.2,264.1,416.5,1523.4,1181.6,680.6,3385.6
16-Sep,1566.8,0,54.2,201.1,559,373.9,231.3,1566.8,814.3,605.2,2986.3
16-Oct,1553.9,0,62.9,188.9,815.2,421.8,251.1,1553.9,1067,672.9,3293.8
16-Nov,1565.3,36.9,63.5,129.3,584,388.3,217.7,1565.3,813.7,606,2985
16-Dec,1757.5,15.9,66.4,177.2,2596.4,448.8,560.6,1757.5,2855.9,1009.4,5622.8
17-Jan,1728.5,35.3,91.2,147.1,1130.6,427.1,115.4,1728.5,1404.2,542.5,3675.2
17-Feb,1659.4,16.6,39.7,165.3,756.8,400.1,222.5,1659.4,978.4,622.6,3260.4
17-Mar,1758,8.9,104.3,191.6,879.4,317.6,136.3,1758,1184.2,453.9,3396.1
17-Apr,1696.3,18.5,64.6,221.5,347,355.7,219.5,1696.3,651.6,575.2,2923.1
17-May,1676.3,35.7,74.7,197.9,647.2,398.8,166.1,1676.3,955.5,564.9,3196.7
17-Jun,1654.5,10,66.3,249.9,591.8,346.7,297.8,1654.5,918,644.5,3217
17-Jul,703.8,26,50.2,172.4,143.4,143.7,0,703.8,392,143.7,1239.5
17-Aug,1632.4,62.3,81.9,241.8,724.1,456.7,280,1632.4,1110.1,736.7,3479.2
